region,anzsic_descriptor,anzsic_descriptor2,category,gas,units,magnitude,year,data_val
West Coast,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,922.14
West Coast,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,791.68
West Coast,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,766.78
West Coast,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,854.53
West Coast,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,938.08
West Coast,Primary industries,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2021,807.51
Auckland,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,840.64
Auckland,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,882.44
Auckland,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,924.49
Auckland,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,959.23
Auckland,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,912.9
Auckland,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,918.91
Auckland,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,915.29
Auckland,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,924.21
Auckland,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,923.15
Auckland,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,940.75
Auckland,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,950.25
Auckland,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,915.64
Auckland,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,1032.49
Auckland,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,989.99
Auckland,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2021,1005.42
Bay of Plenty,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,162.77
Bay of Plenty,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,171.54
Bay of Plenty,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,178.13
Bay of Plenty,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,179.86
Bay of Plenty,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,170.04
